Compiling for 128 parallel environments...
Compilation time: 1.0869s
Running benchmark (1 samples)...

Results saved to: times.json
Collecting data...
Generating '/tmp/nsys-report-7638.qdstrm'

[1/8] [0%                          ] octax_nsys.nsys-rep
[1/8] [========================100%] octax_nsys.nsys-rep

[2/8] [0%                          ] octax_nsys.sqlite
[2/8] [========================100%] octax_nsys.sqlite
[3/8] Executing 'nvtx_sum' stats report

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)     StdDev (ns)    Style                                                  Range                                                
      0,0           25 050          1         25 050,0         25 050,0         25 050         25 050           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_broadcast_in_dim,program_id=85#       
      0,0           25 003          1         25 003,0         25 003,0         25 003         25 003           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_broadcast_in_dim,program_id=71#       
      0,0           24 965          1         24 965,0         24 965,0         24 965         24 965           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-spmd-partitioner,module=jit_broadcast_in_dim,program_id=79#           
      0,0           24 919          1         24 919,0         24 919,0         24 919         24 919           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_broadcast_in_dim,program_id=73#  
      0,0           24 874          1         24 874,0         24 874,0         24 874         24 874           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_broadcast_in_dim,program_id=31#              
      0,0           24 846          1         24 846,0         24 846,0         24 846         24 846           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_broadcast_in_dim,program_id=33#  
      0,0           24 786          1         24 786,0         24 786,0         24 786         24 786           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_broadcast_in_dim,program_id=11#       
      0,0           24 784          1         24 784,0         24 784,0         24 784         24 784           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_convert_element_type,program_id=23#   
      0,0           24 744          1         24 744,0         24 744,0         24 744         24 744           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_convert_element_type,program_id=…
      0,0           24 688          1         24 688,0         24 688,0         24 688         24 688           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_broadcast_in_dim,program_id=27#              
      0,0           24 592          8          3 074,0          2 134,0          1 429          6 356       2 058,0  PushPop  TSL:XlaPass:#name=cse,module=jit_scatter,program_id=47#                                             
      0,0           24 532          1         24 532,0         24 532,0         24 532         24 532           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=71#                      
      0,0           24 530          1         24 530,0         24 530,0         24 530         24 530           0,0  PushPop  TSL:XlaPassPipeline:#name=sanitize-constant-names,module=jit__threefry_split,program_id=63#         
      0,0           24 528          1         24 528,0         24 528,0         24 528         24 528           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_broadcast_in_dim,program_id=19#              
      0,0           24 524          1         24 524,0         24 524,0         24 524         24 524           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-passes,module=jit_broadcast_in_dim,program_id=79#          
      0,0           24 518          1         24 518,0         24 518,0         24 518         24 518           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion optimization,module=jit_reset,program_id=65#                  
      0,0           24 512          1         24 512,0         24 512,0         24 512         24 512           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_broadcast_in_dim,program_id=77#       
      0,0           24 509          1         24 509,0         24 509,0         24 509         24 509           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_broadcast_in_dim,program_id=85#  
      0,0           24 454          1         24 454,0         24 454,0         24 454         24 454           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_squeeze,program_id=51#                
      0,0           24 383          1         24 383,0         24 383,0         24 383         24 383           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=85#                      
      0,0           24 364          1         24 364,0         24 364,0         24 364         24 364           0,0  PushPop  TSL:XlaPass:#name=host-offloader,module=jit_scatter,program_id=41#                                  
      0,0           24 358          1         24 358,0         24 358,0         24 358         24 358           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_convert_element_type,program_id=…
      0,0           24 322          1         24 322,0         24 322,0         24 322         24 322           0,0  PushPop  TSL:XlaPass:#name=multi_output_fusion,module=jit_scatter,program_id=47#                             
      0,0           24 266          1         24 266,0         24 266,0         24 266         24 266           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_broadcast_in_dim,program_id=35#  
      0,0           24 228          1         24 228,0         24 228,0         24 228         24 228           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_convert_element_type,program_id=…
      0,0           24 143          1         24 143,0         24 143,0         24 143         24 143           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_convert_element_type,program_id=43#          
      0,0           24 137          1         24 137,0         24 137,0         24 137         24 137           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=81#                      
      0,0           24 115         10          2 411,0          2 208,0          2 159          4 016         572,0  PushPop  TSL:XlaPass:#name=simplify-sorts,module=jit_rollout,program_id=87#                                  
      0,0           24 109          1         24 109,0         24 109,0         24 109         24 109           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_convert_element_type,program_id=23#          
      0,0           24 086          3          8 028,0          2 807,0            635         20 644      10 979,0  PushPop  TSL:XlaPass:#name=fusion-wrapper,module=jit_broadcast_in_dim,program_id=79#                         
      0,0           24 057          8          3 007,0          2 086,0          1 535          6 226       1 896,0  PushPop  TSL:XlaPass:#name=cse,module=jit_scatter,program_id=41#                                             
      0,0           24 034          3          8 011,0          7 846,0          7 788          8 400         337,0  PushPop  TSL:XlaPass:#name=layout_normalization,module=jit__threefry_split,program_id=63#                    
      0,0           23 932          1         23 932,0         23 932,0         23 932         23 932           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_multiply,program_id=61#                              
      0,0           23 925          1         23 925,0         23 925,0         23 925         23 925           0,0  PushPop  TSL:XlaPass:#name=host-offloader,module=jit_scatter,program_id=47#                                  
      0,0           23 909          1         23 909,0         23 909,0         23 909         23 909           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_broadcast_in_dim,program_id=11#  
      0,0           23 883          1         23 883,0         23 883,0         23 883         23 883           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit__threefry_seed,program_id=5#                            
      0,0           23 858          1         23 858,0         23 858,0         23 858         23 858           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit__squeeze,program_id=45#          
      0,0           23 817         44            541,0            475,0            308          3 471         460,0  PushPop  TSL:XlaAutotunerCompilation                                                                         
      0,0           23 797          1         23 797,0         23 797,0         23 797         23 797           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_convert_element_type,program_id=…
      0,0           23 751          1         23 751,0         23 751,0         23 751         23 751           0,0  PushPop  TSL:XlaPassPipeline:#name=reshape_mover_after_conv_canonicalization,module=jit__threefry_split,prog…
      0,0           23 694          1         23 694,0         23 694,0         23 694         23 694           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_convert_element_type,program_id=15#          
      0,0           23 669          1         23 669,0         23 669,0         23 669         23 669           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_convert_element_type,program_id=53#   
      0,0           23 542          1         23 542,0         23 542,0         23 542         23 542           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_convert_element_type,program_id=…
      0,0           23 478          1         23 478,0         23 478,0         23 478         23 478           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_broadcast_in_dim,program_id=31#  
      0,0           23 467          1         23 467,0         23 467,0         23 467         23 467           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_convert_element_type,program_id=3#           
      0,0           23 462          2         11 731,0         11 731,0         10 441         13 021       1 824,0  PushPop  TSL:XlaPass:#name=hlo-verifier,module=jit_scatter,program_id=47#                                    
      0,0           23 397          1         23 397,0         23 397,0         23 397         23 397           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_broadcast_in_dim,program_id=27#  
      0,0           23 349          1         23 349,0         23 349,0         23 349         23 349           0,0  PushPop  TSL:XlaBufferAssignment:#module=jit_remainder,program_id=57#                                        
      0,0           23 340          1         23 340,0         23 340,0         23 340         23 340           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_dynamic_slice,program_id=49#                         
      0,0           23 310          1         23 310,0         23 310,0         23 310         23 310           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_convert_element_type,program_id=…
      0,0           23 282          3          7 760,0          8 159,0          6 331          8 792       1 277,0  PushPop  TSL:XlaPass:#name=sanitize-constant-names,module=jit_scatter,program_id=47#                         
      0,0           23 110          1         23 110,0         23 110,0         23 110         23 110           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_convert_element_type,program_id=…
      0,0           23 045          1         23 045,0         23 045,0         23 045         23 045           0,0  PushPop  TSL:XlaPass:#name=host-offloader,module=jit_remainder,program_id=57#                                
      0,0           22 992          1         22 992,0         22 992,0         22 992         22 992           0,0  PushPop  TSL:XlaPass:#name=copy-insertion,module=jit_convert_element_type,program_id=1#                      
      0,0           22 981          1         22 981,0         22 981,0         22 981         22 981           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_broadcast_in_dim,program_id=19#  
      0,0           22 925          2         11 462,0         11 462,0          8 883         14 042       3 648,0  PushPop  TSL:Thunk:#name=args[1],hlo_op=loop_dynamic_slice_fusion#                                           
      0,0           22 899          1         22 899,0         22 899,0         22 899         22 899           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_convert_element_type,program_id=…
      0,0           22 896          1         22 896,0         22 896,0         22 896         22 896           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit__squeeze,program_id=39#          
      0,0           22 852          1         22 852,0         22 852,0         22 852         22 852           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_broadcast_in_dim,program_id=27#       
      0,0           22 815          1         22 815,0         22 815,0         22 815         22 815           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion optimization,module=jit_scatter,program_id=41#                
      0,0           22 801          1         22 801,0         22 801,0         22 801         22 801           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=79#                         
      0,0           22 721          1         22 721,0         22 721,0         22 721         22 721           0,0  PushPop  TSL:XlaPass:#name=all-gather-optimizer,module=jit_rollout,program_id=87#                            
      0,0           22 718          1         22 718,0         22 718,0         22 718         22 718           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion optimization,module=jit_remainder,program_id=57#              
      0,0           22 689          1         22 689,0         22 689,0         22 689         22 689           0,0  PushPop  TSL:XlaPass:#name=host-offloader,module=jit_floor_divide,program_id=55#                             
      0,0           22 679          1         22 679,0         22 679,0         22 679         22 679           0,0  PushPop  TSL:XlaPass:#name=collective-quantizer,module=jit_rollout,program_id=87#                            
      0,0           22 666          1         22 666,0         22 666,0         22 666         22 666           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_broadcast_in_dim,program_id=19#       
      0,0           22 501          1         22 501,0         22 501,0         22 501         22 501           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_convert_element_type,program_id=29#          
      0,0           22 458          3          7 486,0          7 206,0          7 131          8 121         551,0  PushPop  TSL:XlaPass:#name=transpose-folding,module=jit__threefry_split,program_id=63#                       
      0,0           22 277          1         22 277,0         22 277,0         22 277         22 277           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_broadcast_in_dim,program_id=31#       
      0,0           22 252          1         22 252,0         22 252,0         22 252         22 252           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_dynamic_slice,program_id=49#                            
      0,0           22 235          1         22 235,0         22 235,0         22 235         22 235           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-simplification-pipeline optimization,module=jit_squeeze,progr…
      0,0           22 214          1         22 214,0         22 214,0         22 214         22 214           0,0  PushPop  TSL:XlaPass:#name=multi_output_fusion,module=jit_reset,program_id=65#                               
      0,0           22 150          1         22 150,0         22 150,0         22 150         22 150           0,0  PushPop  TSL:XlaPassPipeline:#name=remat-pipeline,module=jit__threefry_seed,program_id=5#                    
      0,0           22 140          3          7 380,0          7 693,0          6 250          8 197       1 010,0  PushPop  TSL:XlaPass:#name=sanitize-constant-names,module=jit_scatter,program_id=41#                         
      0,0           22 059          1         22 059,0         22 059,0         22 059         22 059           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_convert_element_type,program_id=25#          
      0,0           22 056          1         22 056,0         22 056,0         22 056         22 056           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_convert_element_type,program_id=…
      0,0           22 007          1         22 007,0         22 007,0         22 007         22 007           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_subtract,program_id=59#                                 
      0,0           22 002          1         22 002,0         22 002,0         22 002         22 002           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_convert_element_type,program_id=21#          
      0,0           21 963          1         21 963,0         21 963,0         21 963         21 963           0,0  PushPop  TSL:XlaPassPipeline:#name=scheduled-gpu-module,module=jit_reset,program_id=65#                      
      0,0           21 955          1         21 955,0         21 955,0         21 955         21 955           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_iota,program_id=9#                    
      0,0           21 947          4          5 486,0          3 555,0          2 936         11 900       4 315,0  PushPop  TSL:XlaPass:#name=zero_sized_hlo_elimination,module=jit__threefry_split,program_id=63#              
      0,0           21 911          1         21 911,0         21 911,0         21 911         21 911           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_subtract,program_id=59#                                
      0,0           21 903          1         21 903,0         21 903,0         21 903         21 903           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-simplification-pipeline optimization,module=jit_scatter,progr…
      0,0           21 902          4          5 475,0          4 393,0          3 313          9 802       2 967,0  PushPop  TSL:XlaPass:#name=constant_folding,module=jit_broadcast_in_dim,program_id=79#                       
      0,0           21 812          1         21 812,0         21 812,0         21 812         21 812           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_convert_element_type,program_id=15#   
      0,0           21 812          1         21 812,0         21 812,0         21 812         21 812           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-simplification-pipeline optimization,module=jit_scatter,progr…
      0,0           21 763          1         21 763,0         21 763,0         21 763         21 763           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=11#                      
      0,0           21 725          1         21 725,0         21 725,0         21 725         21 725           0,0  PushPop  TSL:Thunk:#hlo_op=loop_broadcast_fusion.4#                                                          
      0,0           21 696          2         10 848,0         10 848,0          9 170         12 526       2 373,0  PushPop  TSL:XlaPass:#name=hlo-verifier,module=jit_reset,program_id=65#                                      
      0,0           21 661          1         21 661,0         21 661,0         21 661         21 661           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-spmd-partitioner,module=jit_broadcast_in_dim,program_id=85#           
      0,0           21 612          1         21 612,0         21 612,0         21 612         21 612           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_convert_element_type,program_id=43#   
      0,0           21 595          1         21 595,0         21 595,0         21 595         21 595           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=81#                        
      0,0           21 454          1         21 454,0         21 454,0         21 454         21 454           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit__squeeze,program_id=39#                      
      0,0           21 385          1         21 385,0         21 385,0         21 385         21 385           0,0  PushPop  TSL:XlaPassPipeline:#name=nvptx post-layout_assignment part 1,module=jit__threefry_split,program_id…
      0,0           21 336          1         21 336,0         21 336,0         21 336         21 336           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-spmd-partitioner,module=jit_broadcast_in_dim,program_id=83#           
      0,0           21 280          1         21 280,0         21 280,0         21 280         21 280           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_convert_element_type,program_id=3#    
      0,0           21 214          1         21 214,0         21 214,0         21 214         21 214           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_iota,program_id=7#                    
      0,0           21 198          1         21 198,0         21 198,0         21 198         21 198           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=69#                        
      0,0           21 196          1         21 196,0         21 196,0         21 196         21 196           0,0  PushPop  TSL:XlaBufferAssignment:#module=jit_floor_divide,program_id=55#                                     
      0,0           21 186          1         21 186,0         21 186,0         21 186         21 186           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_subtract,program_id=59#                              
      0,0           21 172          1         21 172,0         21 172,0         21 172         21 172           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_convert_element_type,program_id=29#   
      0,0           21 170          1         21 170,0         21 170,0         21 170         21 170           0,0  PushPop  TSL:XlaPass:#name=copy-insertion,module=jit_squeeze,program_id=51#                                  
      0,0           21 167          1         21 167,0         21 167,0         21 167         21 167           0,0  PushPop  TSL:XlaPass:#name=remove-no-op-reduce-precision-algebraic-simplifier,module=jit__threefry_split,pro…
      0,0           21 128          1         21 128,0         21 128,0         21 128         21 128           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=83#                        
      0,0           21 128          1         21 128,0         21 128,0         21 128         21 128           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-spmd-partitioner,module=jit_broadcast_in_dim,program_id=67#           
      0,0           21 087          1         21 087,0         21 087,0         21 087         21 087           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=67#                      
      0,0           21 069          1         21 069,0         21 069,0         21 069         21 069           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=13#                      
      0,0           20 991          1         20 991,0         20 991,0         20 991         20 991           0,0  PushPop  TSL:XlaPass:#name=copy-insertion,module=jit_subtract,program_id=59#                                 
      0,0           20 978          1         20 978,0         20 978,0         20 978         20 978           0,0  PushPop  TSL:XlaPassPipeline:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=79#                 
      0,0           20 963          1         20 963,0         20 963,0         20 963         20 963           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=67#                        
      0,0           20 910          1         20 910,0         20 910,0         20 910         20 910           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=85#                        
      0,0           20 910          1         20 910,0         20 910,0         20 910         20 910           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_dynamic_slice,program_id=49#                           
      0,0           20 909          1         20 909,0         20 909,0         20 909         20 909           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_iota,program_id=9#                           
      0,0           20 878          1         20 878,0         20 878,0         20 878         20 878           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_multiply,program_id=61#                                 
      0,0           20 864          1         20 864,0         20 864,0         20 864         20 864           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=73#                        
      0,0           20 848         13          1 603,0          1 425,0          1 140          2 662         463,0  PushPop  TSL:XlaPass:#name=algsimp,module=jit_broadcast_in_dim,program_id=79#                                
      0,0           20 833          1         20 833,0         20 833,0         20 833         20 833           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=71#                        
      0,0           20 780          1         20 780,0         20 780,0         20 780         20 780           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=37#                        
      0,0           20 772          1         20 772,0         20 772,0         20 772         20 772           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=73#                      
      0,0           20 718          1         20 718,0         20 718,0         20 718         20 718           0,0  PushPop  TSL:XlaPass:#name=multi_output_fusion,module=jit_scatter,program_id=41#                             
      0,0           20 715          1         20 715,0         20 715,0         20 715         20 715           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-spmd-partitioner,module=jit_broadcast_in_dim,program_id=69#           
      0,0           20 696          1         20 696,0         20 696,0         20 696         20 696           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=75#                        
      0,0           20 664          1         20 664,0         20 664,0         20 664         20 664           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-spmd-partitioner,module=jit_broadcast_in_dim,program_id=71#           
      0,0           20 638          1         20 638,0         20 638,0         20 638         20 638           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-simplification-pipeline optimization,module=jit_reset,program…
      0,0           20 624          1         20 624,0         20 624,0         20 624         20 624           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_squeeze,program_id=51#                               
      0,0           20 622          1         20 622,0         20 622,0         20 622         20 622           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_convert_element_type,program_id=17#          
      0,0           20 587          1         20 587,0         20 587,0         20 587         20 587           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_convert_element_type,program_id=25#   
      0,0           20 546          1         20 546,0         20 546,0         20 546         20 546           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_iota,program_id=7#               
      0,0           20 542          1         20 542,0         20 542,0         20 542         20 542           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=11#                        
      0,0           20 539          1         20 539,0         20 539,0         20 539         20 539           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=83#                      
      0,0           20 520          1         20 520,0         20 520,0         20 520         20 520           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_iota,program_id=7#                           
      0,0           20 489          1         20 489,0         20 489,0         20 489         20 489           0,0  PushPop  TSL:XlaPassPipeline:#name=remat-pipeline,module=jit_dynamic_slice,program_id=49#                    
      0,0           20 486          1         20 486,0         20 486,0         20 486         20 486           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=33#                      
      0,0           20 455          4          5 113,0          4 409,0          2 196          9 441       3 070,0  PushPop  TSL:XlaPass:#name=constant_folding,module=jit_remainder,program_id=57#                              
      0,0           20 351          1         20 351,0         20 351,0         20 351         20 351           0,0  PushPop  TSL:XlaPassPipeline:#name=scheduled-gpu-module,module=jit_scatter,program_id=47#                    
      0,0           20 308          1         20 308,0         20 308,0         20 308         20 308           0,0  PushPop  TSL:XlaPass:#name=copy-insertion,module=jit_dynamic_slice,program_id=49#                            
      0,0           20 296          1         20 296,0         20 296,0         20 296         20 296           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=85#                         
      0,0           20 270          1         20 270,0         20 270,0         20 270         20 270           0,0  PushPop  TSL:XlaPassPipeline:#name=remat-pipeline,module=jit_subtract,program_id=59#                         
      0,0           20 264          1         20 264,0         20 264,0         20 264         20 264           0,0  PushPop  TSL:XlaPass:#name=copy-insertion,module=jit_broadcast_in_dim,program_id=37#                         
      0,0           20 218          1         20 218,0         20 218,0         20 218         20 218           0,0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit__squeeze,program_id=45#                      
      0,0           20 206          1         20 206,0         20 206,0         20 206         20 206           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=73#                         
      0,0           20 187          1         20 187,0         20 187,0         20 187         20 187           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_squeeze,program_id=51#                                 
      0,0           20 148          1         20 148,0         20 148,0         20 148         20 148           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_convert_element_type,program_id=21#   
      0,0           20 147          1         20 147,0         20 147,0         20 147         20 147           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=69#                      
      0,0           20 089          1         20 089,0         20 089,0         20 089         20 089           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=77#                        
      0,0           20 059          1         20 059,0         20 059,0         20 059         20 059           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=67#                         
      0,0           20 058          1         20 058,0         20 058,0         20 058         20 058           0,0  PushPop  TSL:XlaPassPipeline:#name=scheduled-gpu-module,module=jit_scatter,program_id=41#                    
      0,0           20 047          1         20 047,0         20 047,0         20 047         20 047           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-copy-insertion,module=jit_iota,program_id=9#               
      0,0           20 046          1         20 046,0         20 046,0         20 046         20 046           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion optimization,module=jit_scatter,program_id=47#                
      0,0           20 019          1         20 019,0         20 019,0         20 019         20 019           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_convert_element_type,program_id=53#                     
      0,0           20 004          1         20 004,0         20 004,0         20 004         20 004           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=37#                      
      0,0           19 937          1         19 937,0         19 937,0         19 937         19 937           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=35#                        
      0,0           19 889          1         19 889,0         19 889,0         19 889         19 889           0,0  PushPop  TSL:XlaPass:#name=host-offloader,module=jit__threefry_seed,program_id=5#                            
      0,0           19 871          1         19 871,0         19 871,0         19 871         19 871           0,0  PushPop  TSL:XlaPass:#name=cudnn_simplify_padding,module=jit__threefry_split,program_id=63#                  
      0,0           19 854          1         19 854,0         19 854,0         19 854         19 854           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=35#                         
      0,0           19 852          1         19 852,0         19 852,0         19 852         19 852           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-simplification-pipeline optimization,module=jit_floor_divide,…
      0,0           19 818          1         19 818,0         19 818,0         19 818         19 818           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion optimization,module=jit_broadcast_in_dim,program_id=37#       
      0,0           19 725          1         19 725,0         19 725,0         19 725         19 725           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=75#                         
      0,0           19 695          1         19 695,0         19 695,0         19 695         19 695           0,0  PushPop  TSL:XlaBufferAssignment:#module=jit_broadcast_in_dim,program_id=35#                                 
      0,0           19 644          1         19 644,0         19 644,0         19 644         19 644           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=69#                         
      0,0           19 637          1         19 637,0         19 637,0         19 637         19 637           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=11#                         
